var_name,yr_window,gcm_name
DEM,1974_2013,CCSM4
ratio,1974_2013,CCSM4
timepk,1974_2013,CCSM4
accm,1974_2013,CCSM4
accm,2000_2029,CCSM4
accm,2010_2039,CCSM4
accm,2020_2049,CCSM4
accm,2030_2059,CCSM4
accm,2040_2069,CCSM4
accm,2050_2079,CCSM4
accm,2060_2089,CCSM4
accm,2070_2099,CCSM4
mean,1974_2013,CCSM4
mean,2000_2029,CCSM4
mean,2010_2039,CCSM4
mean,2020_2049,CCSM4
mean,2030_2059,CCSM4
mean,2040_2069,CCSM4
mean,2050_2079,CCSM4
mean,2060_2089,CCSM4
mean,2070_2099,CCSM4
mx5p,1974_2013,CCSM4
mx5p,2000_2029,CCSM4
mx5p,2010_2039,CCSM4
mx5p,2020_2049,CCSM4
mx5p,2030_2059,CCSM4
mx5p,2040_2069,CCSM4
mx5p,2050_2079,CCSM4
mx5p,2060_2089,CCSM4
mx5p,2070_2099,CCSM4
pwd,1974_2013,CCSM4
pwd,2000_2029,CCSM4
pwd,2010_2039,CCSM4
pwd,2020_2049,CCSM4
pwd,2030_2059,CCSM4
pwd,2040_2069,CCSM4
pwd,2050_2079,CCSM4
pwd,2060_2089,CCSM4
pwd,2070_2099,CCSM4
pww,1974_2013,CCSM4
pww,2000_2029,CCSM4
pww,2010_2039,CCSM4
pww,2020_2049,CCSM4
pww,2030_2059,CCSM4
pww,2040_2069,CCSM4
pww,2050_2079,CCSM4
pww,2060_2089,CCSM4
pww,2070_2099,CCSM4
sdev,1974_2013,CCSM4
sdev,2000_2029,CCSM4
sdev,2010_2039,CCSM4
sdev,2020_2049,CCSM4
sdev,2030_2059,CCSM4
sdev,2040_2069,CCSM4
sdev,2050_2079,CCSM4
sdev,2060_2089,CCSM4
sdev,2070_2099,CCSM4
skew,1974_2013,CCSM4
skew,2000_2029,CCSM4
skew,2010_2039,CCSM4
skew,2020_2049,CCSM4
skew,2030_2059,CCSM4
skew,2040_2069,CCSM4
skew,2050_2079,CCSM4
skew,2060_2089,CCSM4
skew,2070_2099,CCSM4
srad,1974_2013,CCSM4
srad,2000_2029,CCSM4
srad,2010_2039,CCSM4
srad,2020_2049,CCSM4
srad,2030_2059,CCSM4
srad,2040_2069,CCSM4
srad,2050_2079,CCSM4
srad,2060_2089,CCSM4
srad,2070_2099,CCSM4
srsd,1974_2013,CCSM4
srsd,2000_2029,CCSM4
srsd,2010_2039,CCSM4
srsd,2020_2049,CCSM4
srsd,2030_2059,CCSM4
srsd,2040_2069,CCSM4
srsd,2050_2079,CCSM4
srsd,2060_2089,CCSM4
srsd,2070_2099,CCSM4
tdew,1974_2013,CCSM4
tdew,2000_2029,CCSM4
tdew,2010_2039,CCSM4
tdew,2020_2049,CCSM4
tdew,2030_2059,CCSM4
tdew,2040_2069,CCSM4
tdew,2050_2079,CCSM4
tdew,2060_2089,CCSM4
tdew,2070_2099,CCSM4
tmax,1974_2013,CCSM4
tmax,2000_2029,CCSM4
tmax,2010_2039,CCSM4
tmax,2020_2049,CCSM4
tmax,2030_2059,CCSM4
tmax,2040_2069,CCSM4
tmax,2050_2079,CCSM4
tmax,2060_2089,CCSM4
tmax,2070_2099,CCSM4
tmin,1974_2013,CCSM4
tmin,2000_2029,CCSM4
tmin,2010_2039,CCSM4
tmin,2020_2049,CCSM4
tmin,2030_2059,CCSM4
tmin,2040_2069,CCSM4
tmin,2050_2079,CCSM4
tmin,2060_2089,CCSM4
tmin,2070_2099,CCSM4
tnsd,1974_2013,CCSM4
tnsd,2000_2029,CCSM4
tnsd,2010_2039,CCSM4
tnsd,2020_2049,CCSM4
tnsd,2030_2059,CCSM4
tnsd,2040_2069,CCSM4
tnsd,2050_2079,CCSM4
tnsd,2060_2089,CCSM4
tnsd,2070_2099,CCSM4
txsd,1974_2013,CCSM4
txsd,2000_2029,CCSM4
txsd,2010_2039,CCSM4
txsd,2020_2049,CCSM4
txsd,2030_2059,CCSM4
txsd,2040_2069,CCSM4
txsd,2050_2079,CCSM4
txsd,2060_2089,CCSM4
txsd,2070_2099,CCSM4
