stationID,x,y
az022664,-109.60,31.45
az023010,-111.67,35.13
az026323,-111.33,34.23
az026481,-112.03,33.43
az028820,-110.88,32.18
az029654,-114.40,32.83
ca040822,-118.37,37.37
ca042147,-124.20,41.75
ca042257,-116.78,34.87
ca042713,-115.57,32.78
ca042934,-122.05,38.25
ca043257,-119.82,36.73
ca044223,-115.57,32.85
ca045532,-120.47,37.32
ca045795,-121.92,36.60
ca045983,-122.32,41.32
ca046118,-114.62,34.77
ca046377,-117.40,33.22
ca046624,-118.12,34.58
ca046730,-120.68,35.63
ca046742,-120.65,35.60
ca047470,-117.35,33.97
ca047630,-121.50,38.52
ca047633,-121.50,38.58
ca047668,-121.60,36.67
ca047669,-121.63,36.67
ca047735,-118.73,34.75
ca047740,-117.17,32.73
ca047888,-117.85,33.77
ca047905,-119.83,34.43
ca047946,-120.42,34.93
ca047965,-122.70,38.45
ca048892,-116.17,33.62
ca049325,-117.30,34.53
co050109,-103.15,40.15
co050114,-103.17,40.12
co050130,-105.85,37.43
co051778,-104.70,38.82
co052220,-104.88,39.77
co053488,-108.53,39.12
co054720,-103.52,38.05
co058429,-104.50,37.17
co058434,-104.33,37.25
id101018,-116.07,43.53
id101022,-116.22,43.57
id104457,-112.07,43.52
id104460,-112.95,43.53
id105559,-112.32,42.17
nm290234,-106.62,35.05
nm291469,-104.23,32.42
nm291475,-104.27,32.33
nm291480,-104.45,32.18
nm291887,-103.15,36.45
nm291963,-103.22,34.60
nm294026,-103.13,32.70
nm294856,-105.15,35.65
nm295617,-103.63,34.43
nm297279,-104.43,36.92
nm299156,-103.68,35.20
nm299897,-108.78,35.10
nv260691,-116.87,40.60
nv262573,-115.78,40.83
nv262631,-114.85,39.28
nv262780,-118.78,39.45
nv264436,-115.17,36.08
nv264698,-118.47,40.18
nv264700,-118.55,40.07
nv266779,-119.78,39.50
nv269171,-117.73,40.97
ok342912,-97.88,36.40
ok343407,-99.77,36.30
ok344204,-99.08,35.02
ok346661,-97.60,35.40
ok347201,-97.10,36.73
ok348992,-95.90,36.18
or350328,-123.88,46.15
or350412,-117.82,44.83
or352709,-123.22,44.12
or355429,-122.87,42.37
or356073,-124.25,43.42
or356294,-117.02,44.02
or356546,-118.85,45.68
or356751,-122.60,45.60
or357062,-121.15,44.27
or357310,-117.63,42.83
or357500,-123.02,44.92
tx410016,-99.68,32.43
tx410211,-101.70,35.23
tx410428,-97.70,30.30
tx411136,-97.47,25.92
tx411698,-100.28,34.43
tx411761,-100.93,34.95
tx411889,-96.35,30.58
tx412015,-97.43,27.77
tx412240,-102.55,36.02
tx412244,-96.85,32.85
tx412797,-106.40,31.80
tx413943,-97.70,26.20
tx414307,-95.28,29.65
tx415411,-101.83,33.65
tx415424,-94.72,31.32
tx415890,-102.20,31.95
tx415891,-102.02,32.02
tx416750,-96.22,28.70
tx417174,-94.02,29.97
tx417943,-100.50,31.37
tx417945,-98.47,29.53
tx417983,-97.95,29.87
tx418942,-94.08,33.42
tx419364,-96.92,28.85
tx419419,-97.22,31.62
tx419729,-98.52,33.98
tx419830,-103.20,31.78
ut421008,-112.17,37.65
ut421267,-113.10,37.70
ut422090,-112.52,39.38
ut422257,-112.95,40.20
ut422696,-112.08,40.27
ut422996,-109.87,40.28
ut423611,-110.68,38.42
ut427516,-113.57,37.10
ut427598,-111.97,40.77
ut429382,-114.03,40.72
wy481570,-106.33,42.92
wy485390,-108.73,42.82
wy485415,-105.68,41.32
wy487533,-107.20,41.80
wy487845,-109.07,41.60
wy488155,-106.97,44.77
wy488160,-106.87,44.85
